"Fitness_calls","Mean_Fitness","LCI","UCI"
103,9772380.42460876,9706492.1390408,9828164.4988929
105,9721247.77357838,9647815.64514811,9781432.22500648
107,9746905.55541294,9678014.25272526,9804680.06260898
109,9756113.24481303,9696728.23389795,9813614.47155037
111,9759532.47442984,9704576.3746944,9817824.50508436
113,9772798.77305364,9709130.1342615,9831052.95267555
115,9774072.14014848,9715845.49800392,9830060.06104607
117,9783769.23717961,9727921.7236199,9839193.12789991
119,9780906.35752848,9716986.76263833,9834210.90747079
121,9783575.49670904,9727185.51312622,9840967.01833703
123,9784178.73443497,9720763.20909307,9836175.01348089
125,9787130.93032035,9729750.18060251,9839313.53384275
127,9790885.53197083,9737048.01754808,9841451.86838347
129,9791418.7415323,9733388.11985399,9844368.58758161
131,9790141.55996146,9729971.65351841,9845085.77880516
133,9792490.0801377,9730257.96069774,9847644.3569814
135,9792473.72710834,9727495.35751952,9845623.00462134
137,9791953.49420226,9727386.91887594,9845879.81591912
139,9792469.21628456,9737326.71977012,9848088.56171158
141,9793233.34232406,9736324.63744917,9847339.33151401
143,9791654.54025533,9732093.52298328,9845435.36388661
145,9792954.56108565,9734549.89354147,9842161.47352655
147,9792748.48474493,9735208.36022372,9845715.44130783
149,9791972.21958366,9736607.22611961,9843455.49730437
151,9792717.08412494,9734452.27990335,9846633.8351467
153,9793080.73619893,9733068.63966526,9848882.48448471
155,9792819.8290279,9730532.09927819,9845584.95556097
157,9792416.83707445,9735047.29414166,9845232.68305283
159,9792712.54780689,9736689.37819965,9846216.94014135
161,9792886.06699492,9735805.04648254,9849610.15159048
163,9792494.73623941,9736980.63869688,9843621.50907941
165,9792322.91028478,9734147.30317032,9844904.53761733
167,9792510.15274409,9733363.25553667,9842103.47838706
169,9793655.04852828,9730304.35893122,9841204.53993079
171,9792453.82528442,9731709.09353563,9846697.73646166
173,9793087.07453432,9735611.98750687,9849107.03949986
175,9792616.4435237,9733842.28648544,9843392.90938316
177,9793023.06493246,9737996.49150821,9843998.6848277
179,9793587.69462272,9739733.54251439,9846951.9703623
181,9793447.67591899,9733013.98760687,9847789.87436076
183,9793482.83081057,9737072.88999763,9850015.72939263
185,9793251.34883621,9737194.97827046,9847124.03910769
187,9791563.33518268,9731178.85954805,9843403.23131298
189,9793034.15497718,9737409.22922513,9844866.22998405
191,9792237.21792537,9732388.45810347,9846242.23577507
193,9792897.06856456,9735771.42412394,9844149.95492846
195,9793227.18982288,9734726.88758866,9849705.15322065
197,9794102.03693213,9737912.51493222,9846891.67588838
199,9793206.74722092,9734191.46982855,9845809.21140668
201,9793284.64025066,9735469.10954349,9850714.79884749
203,9793442.2834308,9734573.40288969,9845095.50165851
205,9793950.46495412,9735100.26981083,9845323.07926811
207,9792616.10125974,9731077.54833331,9846246.31867415
209,9793042.68191217,9735398.01886361,9848866.83755703
211,9793412.48923663,9733235.80302189,9845864.81170888
213,9793305.69533459,9736489.07868491,9849847.54634845
215,9792059.00824133,9729803.94537146,9846119.58014402
217,9792864.47650463,9734768.8830163,9848453.53904986
219,9794094.70671958,9736786.0729811,9844905.30046199
221,9794308.45617647,9738676.85772398,9844414.21987114
223,9792043.3561677,9730660.74927275,9842776.62812698
225,9793061.31804413,9730696.45205432,9845137.992401
227,9793724.88791179,9738454.03671714,9845040.8123439
229,9794454.22598243,9735720.91377028,9849416.7082186
231,9794533.37274573,9740818.59547252,9848857.71818751
