"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"1",1,1000,0,0,0,0.251,0.251,9511,0.104125615763547,0,0
"2",2,1000,0,0,0,0.168,0.168,9498.140625,0.0575395233127357,0,0
"3",3,1000,0,0,0,0.107,0.107,9564.6875,0.0787406483790524,0,0
"4",4,1000,0,0,0,-0.361,0.361,9718.09375,0.0526315789473684,0,0
"5",5,1000,0,0,0,0.154,0.154,9519.9375,0.0895092638958438,0,0
"6",6,1000,0,0,0,0.147,0.147,9483.125,0.0934635564827107,0,0
"7",7,1000,0,0,0,0.275,0.275,9487.328125,0.0789044873401855,0,0
"8",8,1000,0,0,0,0.108,0.108,9481.625,0.0837286231431781,0,0
"9",9,1000,0,0,0,0.194,0.194,9492.5625,0.0684512428298279,0,0
"10",10,1000,0,0,0,-0.725,0.725,9864.4375,0.11914842143462,0,0
"11",11,1000,0,0,0,0.206,0.206,9532.1875,0.119382546993651,0,0
"12",12,1000,0,0,0,0.193,0.193,9497.71875,0.10523042477766,0,0
"13",13,1000,0,0,0,0.136,0.136,9478.21875,0.0697317517664738,0,0
"14",14,1000,0,0,0,0.0669999999999999,0.0669999999999999,9481.34375,0.0889996551616038,0,0
"15",15,1000,0,0,0,0.244,0.244,9512.875,0.10099573257468,0,0
"16",16,1000,0,0,0,0.228,0.228,9492.03125,0.128039047151277,0,0
"17",17,1000,0,0,0,0.155,0.155,9458.59375,0.124216859996278,0,0
"18",18,1000,0,0,0,0.252,0.252,9476.1875,0.0904743928526488,0,0
"19",19,1000,0,0,0,0.201,0.201,9488.53125,0.0691867852604828,0,0
"20",20,1000,0,0,0,0.123,0.123,9496.4140625,0.0973390664921792,0,0
"21",21,1000,0,0,0,-0.922,0.922,9935.875,0.0531189083820663,0,0
"22",22,1000,0,0,0,0.141,0.141,9474.40625,0.127040784654541,0,0
"23",23,1000,0,0,0,0.132,0.132,9470.1875,0.127033161013744,0,0
"24",24,1000,0,0,0,0.144,0.144,9461.62890625,0.0872814621738395,0,0
"25",25,1000,0,0,0,0.193,0.193,9485.2734375,0.0794561673716059,0,0
"26",26,1000,0,0,0,0.242,0.242,9514.46875,0.083520880220055,0,0
"27",27,1000,0,0,0,0.205,0.205,9505.71875,0.15718539413885,0,0
"28",28,1000,0,0,0,0.153,0.153,9546.3125,0.105824039653036,0,0
"29",29,1000,0,0,0,0.127,0.127,9488.0625,0.0954466393340788,0,0
"30",30,1000,0,0,0,0.127,0.127,9505.65625,0.077064336372847,0,0
"31",31,1000,0,0,1,-0.987,0.987,9995.25,0.124471086036671,0,0
"32",32,1000,0,0,0,0.16,0.16,9482.78125,0.10176935625549,0,0
"33",33,1000,0,0,1,-0.963,0.963,9983.75,0.0725513905683192,0,0
"34",34,1000,0,0,0,0.134,0.134,9496.65625,0.0781458638011064,0,0
"35",35,1000,0,0,0,0.218,0.218,9508.28125,0.102830482115086,0,0
"36",36,1000,0,0,0,-0.486,0.486,9775.3125,0.0745565066368937,0,0
"37",37,1000,0,0,0,0.164,0.164,9496.65625,0.103878551672115,0,0
"38",38,1000,0,0,0,0.154,0.154,9513.375,0.0862759829701978,0,0
"39",39,1000,0,0,0,0.24,0.24,9507.65625,0.0902751363002409,0,0
"40",40,1000,0,0,0,0.233,0.233,9465.375,0.0727597651263722,0,0
"41",41,1000,0,0,0,0.159,0.159,9535.875,0.112256301999255,0,0
"42",42,1000,0,0,0,0.143,0.143,9490.125,0.0873330034636319,0,0
"43",43,1000,0,0,0,0.149,0.149,9512.0625,0.100450901803607,0,0
"44",44,1000,0,0,0,0.108,0.108,9514.34375,0.0938233987177046,0,0
"45",45,1000,0,0,0,0.16,0.16,9500.65625,0.0850876087230556,0,0
"46",46,1000,0,0,0,-0.42,0.42,9761.625,0.103947448452041,0,0
"47",47,1000,0,0,0,0.278,0.278,9477.125,0.0787591009813232,0,0
"48",48,1000,0,0,0,0.154,0.154,9459.34375,0.0686702060422197,0,0
"49",49,1000,0,0,0,0.152,0.152,9519.1875,0.096531292433033,0,0
"50",50,1000,0,0,0,0.163,0.163,9519.25,0.131780101510426,0,0
"51",51,1000,0,0,0,0.0369999999999999,0.0369999999999999,9510.4375,0.0854679178290642,0,0
"52",52,1000,0,0,0,-0.48,0.48,9776.5,0.116856871136472,0,0
"53",53,1000,0,0,0,0.201,0.201,9504.09375,0.108502737743093,0,0
"54",54,1000,0,0,0,-0.99,0.99,9977.125,0.117280995691719,0,0
"55",55,1000,0,0,0,0.208,0.208,9486.34375,0.081915761722428,0,0
"56",56,1000,0,0,0,-0.15,0.15,9643.875,0.0868388683886839,0,0
"57",57,1000,0,0,0,-0.425,0.425,9749.875,0.110818258056787,0,0
"58",58,1000,0,0,0,0.144,0.144,9533.671875,0.111779602486379,0,0
"59",59,1000,0,0,0,0.252,0.252,9491.40625,0.105872878205922,0,0
"60",60,1000,0,0,0,0.154,0.154,9492.03125,0.0795433159776676,0,0
"61",61,1000,0,0,0,-0.398,0.398,9736.0625,0.0901908350553057,0,0
"62",62,1000,0,0,0,-0.408,0.408,9741.03125,0.129177299793414,0,0
"63",63,1000,0,0,0,0.152,0.152,9543.828125,0.0595854922279793,0,0
"64",64,1000,0,0,0,0.149,0.149,9489.625,0.122918615528531,0,0
"65",65,1000,0,0,0,-0.468,0.468,9764.125,0.121193958283385,0,0
"66",66,1000,0,0,0,-0.021,0.021,9604.53125,0.06900795153351,0,0
"67",67,1000,0,0,0,0.236,0.236,9514.765625,0.109088634515544,0,0
"68",68,1000,0,0,0,-0.831,0.831,9897.3125,0.108908526391211,0,0
"69",69,1000,0,0,0,0.159,0.159,9521.875,0.122559920929083,0,0
"70",70,1000,0,0,0,0.154,0.154,9511.96875,0.100913357858683,0,0
"71",71,1000,0,0,0,0.161,0.161,9489.6875,0.0754835468475257,0,0
"72",72,1000,0,0,0,0.102,0.102,9511.8125,0.0834182373917473,0,0
"73",73,1000,0,0,0,0.275,0.275,9496.5625,0.0859997470595675,0,0
"74",74,1000,0,0,0,0.131,0.131,9551.71875,0.0967942345924453,0,0
"75",75,1000,0,0,0,0.145,0.145,9511.9375,0.131848688224527,0,0
"76",76,1000,0,0,0,-0.215,0.215,9651.3125,0.118909940944882,0,0
"77",77,1000,0,0,0,0.134,0.134,9464.875,0.115678656473242,0,0
"78",78,1000,0,0,0,-0.399,0.399,9740.28125,0.0591545772886443,0,0
"79",79,1000,0,0,0,0.123,0.123,9486.59375,0.0980766781301745,0,0
"80",80,1000,0,0,0,0.145,0.145,9514.28125,0.0688659793814433,0,0
"81",81,1000,0,0,0,0.0940000000000001,0.0940000000000001,9485.375,0.0780952380952381,0,0
"82",82,1000,0,0,0,0.127,0.127,9536.5,0.081628823419028,0,0
"83",83,1000,0,0,0,-0.264,0.264,9680.03125,0.0866849008516193,0,0
"84",84,1000,0,0,0,-0.89,0.89,9922.9375,0.0787031383563317,0,0
"85",85,1000,0,0,0,0.0960000000000001,0.0960000000000001,9512.96875,0.100075862940953,0,0
"86",86,1000,0,0,0,0.23,0.23,9483.453125,0.103368899119669,0,0
"87",87,1000,0,0,0,0.176,0.176,9518.90625,0.0928210880538418,0,0
"88",88,1000,0,0,0,0.075,0.075,9487.25,0.122347066167291,0,0
"89",89,1000,0,0,0,0.15,0.15,9507.625,0.0669783899911538,0,0
"90",90,1000,0,0,0,0.215,0.215,9498.75,0.0991506646971935,0,0
"91",91,1000,0,0,0,0.135,0.135,9505.5625,0.10058667676003,0,0
"92",92,1000,0,0,0,-0.426,0.426,9748.53125,0.0798337572110911,0,0
"93",93,1000,0,0,0,0.138,0.138,9533.9375,0.091540404040404,0,0
"94",94,1000,0,0,0,0.119,0.119,9491.625,0.0985737219066436,0,0
"95",95,1000,0,0,0,0.189,0.189,9490.6875,0.0763686938930333,0,0
"96",96,1000,0,0,0,0.123,0.123,9491.65625,0.079300734735242,0,0
"97",97,1000,0,0,0,-0.341,0.341,9714.1875,0.114555338382604,0,0
"98",98,1000,0,0,0,0.21,0.21,9456.796875,0.0829893961521366,0,0
"99",99,1000,0,0,0,0.169,0.169,9470.28125,0.103590691940207,0,0
"100",100,1000,0,0,0,0.192,0.192,9497.5625,0.146822229045134,0,0
"101",1,1000,0.1,0,0,-0.115,0.115,9539.1875,0.0738192055051611,0.25,0
"102",2,1000,0.1,0,0,-0.00700000000000001,0.00700000000000001,9558.71875,0.0793939014463716,0.3,0
"103",3,1000,0.1,0,0,0.052,0.052,9523.5625,0.10447397293673,0.25,0
"104",4,1000,0.1,0,0,-0.369,0.369,9724.71875,0.0801325734109776,0,0
"105",5,1000,0.1,0,0,-0.004,0.004,9536.21875,0.143487588109102,0.2,0
"106",6,1000,0.1,0,0,-0.16,0.16,9588.6875,0.121789249467485,0.3,0
"107",7,1000,0.1,0,0,0.209,0.209,9495.375,0.0592775352691845,0.15,0
"108",8,1000,0.1,0,0,-0.34,0.34,9727.8125,0.0675386743805811,0.25,0
"109",9,1000,0.1,0,0,0.116,0.116,9506.53125,0.108298856169384,0.4,0
"110",10,1000,0.1,0,0,0.01,0.01,9595.375,0.0655478150728309,0.35,0
"111",11,1000,0.1,0,0,-0.021,0.021,9554.78125,0.092401442606641,0.3,0
"112",12,1000,0.1,0,0,0.158,0.158,9506.296875,0.0795398317664523,0.15,0
"113",13,1000,0.1,0,0,0.201,0.201,9500.8125,0.0916981132075472,0.1,0
