"","rep","scar","at","bb","extinct","act_dev","fin_yield","max_diff_yield","inac_ts","abs_act_dev"
"1",1,0,0,0,0,0.0620000000000001,9548.3125,0.1,0,0.0620000000000001
"2",2,0,0,0,0,0.097,9530.015625,0.2,0,0.097
"3",3,0,0,0,0,0.0409999999999999,9552.6875,0.1,0,0.0409999999999999
"4",4,0,0,0,0,-0.326,9709.78125,0.1,0,0.326
"5",5,0,0,0,0,0.00299999999999989,9571.40625,0.1,0,0.00299999999999989
"6",6,0,0,0,0,0.135,9512.9375,0.1,0,0.135
"7",7,0,0,0,0,-0.387,9732.96875,0.1,0,0.387
"8",8,0,0,0,0,0.346,9429.859375,0.1,0,0.346
"9",9,0,0,0,0,-0.314,9701.578125,0.1,0,0.314
"10",10,0,0,0,0,-0.29,9688.96875,0.1,0,0.29
"11",11,0,0,0,0,-0.124,9620.5625,0.1,0,0.124
"12",12,0,0,0,0,0.394,9409.9375,0.1,0,0.394
"13",13,0,0,0,0,-0.191,9651.53125,0.1,0,0.191
"14",14,0,0,0,0,0.239,9469.796875,0.1,0,0.239
"15",15,0,0,0,0,-0.273,9687.25,0,0,0.273
"16",16,0,0,0,1,-0.955,9980.375,0.1,0,0.955
"17",17,0,0,0,0,-0.478,9774,0.1,0,0.478
"18",18,0,0,0,0,-0.033,9588.46875,0.1,0,0.033
"19",19,0,0,0,0,-0.214,9657.25,0.1,0,0.214
"20",20,0,0,0,0,-0.838,9930.625,0.1,0,0.838
"21",21,0,0,0,0,0.216,9479.59375,0.1,0,0.216
"22",22,0,0,0,0,-0.17,9635.8125,0.1,0,0.17
"23",23,0,0,0,0,0.1,9526.0625,0.1,0,0.1
"24",24,0,0,0,0,-0.047,9590.359375,0.1,0,0.047
"25",25,0,0,0,0,-0.656,9848.5,0.1,0,0.656
"26",26,0,0,0,0,-0.565,9813.5625,0.1,0,0.565
"27",27,0,0,0,0,-0.081,9602.75,0.1,0,0.081
"28",28,0,0,0,0,-0.00700000000000001,9568.265625,0.1,0,0.00700000000000001
"29",29,0,0,0,0,-0.403,9737.4375,0.1,0,0.403
"30",30,0,0,0,0,0.258,9461.25,0.1,0,0.258
"31",31,0,0,0,1,-0.951,9977.25,0.1,0,0.951
"32",32,0,0,0,0,-0.018,9583.91015625,0.1,0,0.018
"33",33,0,0,0,0,-0.454,9761.875,0.1,0,0.454
"34",34,0,0,0,0,-0.053,9601.125,0.1,0,0.053
"35",35,0,0,0,0,-0.245,9675.9375,0.1,0,0.245
"36",36,0,0,0,0,0.176,9496.8125,0.1,0,0.176
"37",37,0,0,0,0,0.238,9472.28125,0.1,0,0.238
"38",38,0,0,0,0,-0.531,9798.9375,0.1,0,0.531
"39",39,0,0,0,1,-0.952,9978.125,0.1,0,0.952
"40",40,0,0,0,0,-0.149,9633.765625,0.1,0,0.149
"41",41,0,0,0,0,0.0900000000000001,9534.21875,0.1,0,0.0900000000000001
"42",42,0,0,0,0,-0.406,9747.25,0.1,0,0.406
"43",43,0,0,0,0,-0.172,9642.71875,0.1,0,0.172
"44",44,0,0,0,0,0.202,9487.71875,0.1,0,0.202
"45",45,0,0,0,0,0.209,9483.21875,0.1,0,0.209
"46",46,0,0,0,0,-0.091,9614.6875,0.1,0,0.091
"47",47,0,0,0,0,-0.561,9805.6875,0.1,0,0.561
"48",48,0,0,0,0,0.379,9418.4375,0.1,0,0.379
"49",49,0,0,0,0,-0.239,9671.71875,0.1,0,0.239
"50",50,0,0,0,0,0.0369999999999999,9557.28125,0.1,0,0.0369999999999999
"51",51,0,0,0,0,-0.425,9753.5625,0.1,0,0.425
"52",52,0,0,0,0,-0.118,9624.1875,0.1,0,0.118
"53",53,0,0,0,0,-0.721,9876.9375,0.1,0,0.721
"54",54,0,0,0,1,-0.983,9992.25,0.1,0,0.983
"55",55,0,0,0,0,-0.035,9590.25,0.1,0,0.035
"56",56,0,0,0,0,0.131,9516.375,0.1,0,0.131
"57",57,0,0,0,0,-0.215,9662.4375,0.1,0,0.215
