"V1","V2","V3","V4"
40,9.19814372062683,4000,357.7
40,9.1403443813324,12000,385.9
40,9.20003437995911,12000,377.8
40,9.26323914527893,68000,414
40,9.25680565834045,60000,389.6
40,9.22908782958984,28000,394.3
40,9.33263301849365,36000,409.8
40,9.23229002952576,68000,409.4
40,9.23890161514282,56000,420
40,9.31952428817749,52000,419.9
40,9.34882068634033,52000,425
40,9.26222968101501,72000,423.2
40,9.37453675270081,72000,425.3
40,9.34509205818176,56000,431.5
40,9.36197662353516,88000,444.5
40,9.39149022102356,108000,436.7
40,9.34763336181641,72000,442.3
40,9.37081074714661,72000,436.9
40,9.41938447952271,84000,440.9
40,9.43084049224854,96000,451.8
40,9.44551825523376,92000,456.3
40,9.57286334037781,88000,460.6
40,9.71961975097656,104000,460.8
40,9.67412710189819,112000,468.4
40,10.0287981033325,112000,473.6
40,9.5521605014801,136000,470.1
40,9.51735305786133,124000,476.1
40,9.54971575737,120000,476.1
40,9.50085997581482,120000,470.8
40,9.45882201194763,184000,499.9
40,9.47133636474609,128000,481.6
40,9.50168752670288,128000,486
40,9.58777666091919,208000,487.5
40,9.58085083961487,144000,516
40,9.58834719657898,184000,494.9
40,9.59639430046082,152000,509.8
40,9.57049226760864,156000,515.3
40,9.56936526298523,152000,513.6
40,9.59929871559143,176000,520.1
40,9.60423636436462,172000,525.7
40,9.64997100830078,180000,527
40,9.65096688270569,176000,524.3
40,9.60222673416138,172000,521.6
40,9.67176294326782,2e+05,543.3
40,9.64913439750671,212000,540.1
40,9.73647260665894,208000,536.3
40,9.72087621688843,2e+05,549
40,9.68212127685547,196000,561.5
40,9.73847031593323,208000,546.7
40,9.75138187408447,2e+05,557.5
40,9.86128616333008,220000,557.8
40,9.79734683036804,248000,565.1
40,9.74485874176025,248000,561.5
40,9.76719117164612,216000,577
40,9.7683207988739,236000,573.2
40,9.75153732299805,236000,568.4
40,9.83812689781189,244000,572
40,9.80100107192993,236000,574.5
40,9.85571527481079,240000,585.3
40,9.91449737548828,260000,591.9
40,9.86295866966248,248000,603.1
40,9.88731789588928,248000,592.7
40,9.83288431167603,264000,591
40,9.88903903961182,264000,598.3
40,9.91622948646545,268000,596.9
40,9.92258596420288,280000,605.4
40,9.95085787773132,280000,612
40,9.86133074760437,276000,618.6
40,9.84882855415344,3e+05,617.1
40,9.91912531852722,316000,636.8
40,9.86963391304016,284000,625.3
40,9.94879221916199,292000,629.7
40,10.1933391094208,292000,638.2
40,9.95852732658386,312000,639.9
40,9.9941565990448,348000,641
40,10.0472731590271,304000,656.6
40,10.0054368972778,332000,655.2
40,10.0330512523651,348000,666.2
40,10.0180139541626,324000,659.2
40,10.0295424461365,336000,660
40,10.0176978111267,336000,654.4
40,10.0875573158264,336000,647.6
40,10.0605237483978,348000,670.5
40,10.0386095046997,360000,666
40,10.209098815918,456000,680.7
40,10.140506029129,380000,685
40,10.1089072227478,364000,688.2
40,10.1317608356476,356000,685.6
40,10.1246712207794,372000,691.6
40,10.1935541629791,432000,710.2
40,10.0947489738464,380000,687.4
40,10.1819677352905,388000,698.5
40,10.1392941474915,392000,698.9
40,10.3178577423096,412000,701.9
40,10.2395968437195,388000,708.5
40,10.3037359714508,396000,718.7
40,10.3400144577026,392000,711.4
40,10.2509412765503,396000,720
40,10.2931356430054,396000,727.1
40,10.3103625774384,4e+05,728.3
40,10.2658751010895,416000,742.9
40,10.3883969783783,420000,728.1
40,10.4117205142975,416000,744.2
40,10.3657112121582,416000,751.1
40,10.3355057239532,456000,736.4
40,10.3918790817261,424000,765.5
40,10.4120855331421,440000,748.9
40,10.4769446849823,440000,761.6
40,10.4825572967529,440000,763.3
40,10.3700110912323,444000,757.2
40,10.5068211555481,464000,770.3
40,10.4916703701019,492000,772.1
40,10.5367574691772,528000,775.3
40,10.4978377819061,460000,772.8
40,10.5244855880737,528000,787.5
40,10.5075163841248,516000,790.9
40,10.5097596645355,488000,781.1
40,10.6174437999725,516000,803.1
40,10.5454616546631,488000,799.1
40,10.8220019340515,560000,791.8
