"Fitness_calls","Mean_Fitness","LCI","UCI"
2,9563608.12520213,9126251.7939053,9803326.88143226
4,9556320.32313001,9126763.31904631,9796857.41574008
6,9570732.41490054,9035475.90578933,9805444.93525306
8,9575980.3210901,9165459.08754177,9814821.0767304
10,9582808.95582463,9158779.11208055,9819792.54460476
12,9581876.72207561,9145956.67055269,9823218.43886746
14,9595533.01856253,9180785.49896423,9829201.1285061
16,9591139.0033692,9163264.48381682,9822505.00655269
18,9590504.00763473,9174630.93620783,9827914.48793001
20,9595180.71418408,9179047.2195318,9826552.13913729
22,9600094.79409272,9180576.57567272,9827368.4952809
24,9600910.74974273,9169197.02407899,9831798.560546
26,9604272.84656215,9188405.69314454,9834398.94230152
28,9602015.42802824,9180196.39153281,9835611.21615337
30,9603029.56543127,9198440.45536187,9831173.36473613
32,9605905.04435729,9089228.66649411,9831954.49191912
34,9606956.65399593,9205284.78075529,9839822.32390142
36,9606474.58475423,9192486.16130686,9837746.98660738
38,9603647.14291812,9172473.87079462,9837317.2172726
40,9610912.2359566,9208964.7125529,9836860.2576919
42,9609725.8048771,9193600.22248371,9838281.31911739
44,9611614.87345461,9197811.44333706,9842244.30855332
46,9611204.71287525,9204965.01804608,9839925.47658256
48,9610906.17997435,9203157.26702885,9840645.35568438
50,9611630.21954309,9192625.70769079,9843981.85421095
52,9609420.18246132,9188725.27117501,9836698.20629288
54,9608552.36868234,9168891.69413103,9838461.775332
56,9610950.22055806,9211657.31195392,9839248.35307247
58,9611571.75823152,9203198.09593132,9839027.71820538
60,9613890.13532532,9199587.57200204,9844851.9155813
62,9613796.47976261,9224807.61232214,9840602.96815986
64,9613562.54421023,9209720.85722501,9841148.82536155
66,9614875.50512104,9206567.00756432,9842515.53501225
68,9613564.85248647,9173765.95489581,9839684.54383058
70,9614585.66789289,9189834.57408343,9842219.11525766
72,9616044.54445191,9210080.78678085,9842453.50406045
74,9614634.40560518,9196266.32591636,9841752.6609692
76,9615410.55445337,9214453.34870336,9843489.40147221
78,9611009.04338744,9176617.3479451,9840012.04153172
80,9613740.86287463,9181286.08973229,9838233.98997051
82,9613584.72448132,9206806.52141628,9841398.55449041
84,9615236.50355933,9194121.97870832,9843358.1861753
86,9614123.43959867,9216053.81508289,9844080.262005
88,9614048.66787743,9196313.67555234,9841001.22761993
