"Fitness_calls","Mean_Fitness","LCI","UCI"
103,9845258.95403684,9802994.48061832,9883804.05985889
105,9831942.97707788,9788397.24278331,9871238.77579159
107,9863770.20910125,9828534.34670923,9894713.46690373
109,9874189.53294965,9839096.73776863,9903275.2115004
111,9876591.14309672,9840563.53283115,9905599.74897709
113,9878984.43825594,9846489.76448671,9906766.68184355
115,9879082.60530822,9846988.91519085,9907685.42982399
117,9881856.13254286,9849072.92159131,9912757.65468424
119,9881660.9313766,9849283.36122227,9909540.32431774
121,9881026.30439179,9847789.77307619,9907439.0526306
123,9882275.17139202,9849142.11374429,9910182.66181075
125,9881011.07609201,9847599.94762568,9911654.69383558
127,9881807.53787694,9847957.01435463,9910487.42472352
129,9881075.46108593,9851897.61202253,9910187.92451922
131,9881562.21787489,9851474.37581401,9910527.76522701
133,9882478.40147557,9850344.24919598,9907806.52816799
135,9882049.3171289,9851400.8963447,9908659.24151447
137,9882544.64945644,9850080.98036807,9909786.15362735
139,9881294.01540177,9851744.32558385,9910028.55932174
141,9883057.09420134,9852427.47637217,9909375.01302277
143,9881704.26735094,9849336.50895615,9911265.10863556
145,9881741.69120018,9850030.85954476,9910790.74159176
147,9881984.44124336,9850083.6324853,9911179.29022495
149,9883588.26660776,9848666.35764083,9911762.30494111
151,9882393.21874051,9847524.40583262,9911427.12819458
153,9883205.80516451,9853184.69945017,9911504.57279071
155,9882309.13873762,9849128.91476011,9910757.28769028
157,9881940.13293848,9849286.23326696,9911691.10495026
159,9882061.33505692,9850821.60301159,9911692.7232502
161,9883813.05464379,9852476.19498283,9911019.77454711
163,9882012.25615585,9847650.6749242,9910003.4049258
165,9883146.49431897,9851225.57142019,9910087.49995373
167,9882663.59895502,9850253.25191885,9911829.92705119
169,9882806.44862197,9852151.45745825,9908582.57054688
171,9884047.84438001,9852205.0064695,9911269.77592463
173,9882981.91236685,9851339.60816225,9911335.37355789
175,9883381.90095559,9851305.84692619,9911491.1775918
177,9881967.98793979,9848613.75446198,9910929.54546598
179,9882035.72152674,9849515.43470539,9912167.58369525
181,9881937.69419842,9848714.4883069,9911224.91367533
183,9883484.94355655,9849080.16681389,9911902.9023216
185,9883889.2450348,9854454.98912427,9911679.0677861
187,9882644.97554344,9849254.58634805,9910273.41781541
189,9882457.49843065,9850757.07379099,9913091.6264032
191,9882726.35869794,9848569.02964967,9911809.21504957
193,9881615.46249112,9846402.25733199,9909876.88612179
195,9884554.40227549,9852957.308959,9912248.08892073
197,9884144.8464975,9850631.57616527,9914775.07199756
199,9882766.73673559,9851980.16391388,9911204.47446953
201,9883230.24906399,9852075.99511797,9908033.14346479
203,9881040.05032808,9846593.5372642,9910107.1809952
205,9883728.95768148,9853095.0085845,9911684.61541825
207,9883778.21056127,9852383.32598847,9910974.76581125
209,9882938.35987609,9850437.39467401,9911409.67879136
211,9883615.86789045,9852928.01676896,9910326.82825661
213,9882768.60485954,9850114.1096658,9911854.90748563
215,9884123.86993046,9849172.49137987,9911455.18864582
217,9883919.09423873,9850188.26401508,9912043.22668084
219,9884319.87564866,9854964.58065538,9910230.04828883
221,9884540.68890079,9852033.64507801,9912004.48575995
223,9882929.08638612,9850149.05254539,9912011.49792017
225,9884092.59805689,9852323.25844338,9909913.60842497
227,9884295.99392381,9854440.70290113,9911202.03115765
229,9882544.46205326,9847955.65103449,9910965.15126716
231,9884619.59876916,9855268.94989312,9913049.60729981
233,9884209.86748484,9853799.12975246,9913794.2792184
235,9882261.87517937,9847502.70013358,9912426.69395385
237,9882301.46837152,9848524.0522854,9913252.72785789
239,9882241.71613243,9846070.55696667,9911164.97134112
241,9883440.35625042,9851945.12904139,9911662.6680383
243,9884123.55831782,9849352.33243923,9911687.45390421
245,9884322.43963654,9853036.6738137,9911706.42383052
247,9883907.93724557,9849032.02019179,9912634.98631659
249,9883330.29178386,9851806.14617948,9911804.48141096
251,9883770.65470501,9850732.2350022,9913590.8841442
253,9883460.83536954,9853496.15305565,9911344.81308753
255,9884335.29907261,9854615.92108951,9912012.28331548
257,9884256.40744823,9850131.89583549,9913819.0272943
259,9883775.15164323,9851312.3507919,9911229.07242805
261,9884124.38250614,9851518.76877589,9911005.00619199
263,9883251.07607636,9852597.08470572,9912362.74221288
265,9884777.24590736,9851389.46361434,9912617.61254744
267,9882533.78851947,9847728.74746146,9911154.88054333
269,9885171.49817288,9854286.03444624,9911964.70184048
271,9885151.19822078,9854836.25810624,9911921.14280187
273,9883940.72619794,9851028.35520022,9912194.30634406
275,9884778.14271001,9855522.25099252,9913517.26057552
277,9881623.54653323,9845359.94935769,9910725.45495128
279,9884935.1847942,9854131.21487875,9911889.33912496
281,9884448.68476112,9851781.74087159,9911635.05149858
283,9883840.29547737,9850803.75329584,9912465.3642945
285,9884099.30797082,9853754.39497368,9913416.88749184
287,9884092.09346964,9852626.08833585,9911809.54534471
289,9883388.91064635,9854191.01656884,9911821.37163068
291,9884367.45410618,9851479.02761639,9913244.82260114
293,9883559.55722153,9852346.72861421,9911024.48909413
295,9883325.54408783,9850200.96827875,9912700.93432674
297,9884655.65168563,9849090.81595369,9913919.46083291
299,9884129.33492512,9852201.90104524,9911542.5184191
301,9883598.92659607,9853118.91074478,9910760.04242146
303,9884766.94690305,9851964.14865441,9913012.30669557
305,9883853.54156688,9851674.8134967,9911793.32096315
307,9883929.63514019,9853802.80593685,9913242.22148618
309,9885052.19948901,9854020.25630573,9912837.59725178
311,9885037.00025832,9855835.26413756,9914831.71225015
313,9884344.51873201,9853025.69387724,9914260.10282167
315,9884936.64718387,9852720.38919491,9913512.40034429
317,9884533.66812287,9852090.27677202,9912566.46155775
319,9885191.68185139,9855145.04386804,9915698.66753449
321,9884969.48398309,9851560.76906858,9913371.39612039
323,9883356.71133526,9852556.63469638,9910172.22546391
325,9884887.74134094,9853233.86545195,9912778.59632106
327,9884097.22688468,9854136.46129073,9911424.38157951
329,9883735.54503989,9853921.29045426,9911229.43874707
331,9884304.38727039,9853308.67197827,9912760.06706246
333,9882438.61663377,9848822.42768847,9910763.08425702
335,9884925.9260207,9852501.93492213,9911681.63900445
337,9884211.29049937,9853237.66323682,9911416.43022123
339,9884279.38169506,9853899.78830801,9913753.28781764
341,9885160.94328296,9854572.90916735,9914793.16733734
343,9884838.75045571,9853494.47234582,9913340.39575092
345,9884856.69089025,9853446.30825146,9911361.6230261
347,9883865.52613528,9851355.91076336,9913054.70905031
349,9884449.4892632,9852549.70493669,9912861.17364998
351,9884717.02450357,9852235.19539919,9913154.89310123
353,9884431.2451874,9853422.0071343,9913321.523187
355,9884216.25019514,9852771.14587105,9912626.07399724
357,9884533.95757234,9851744.05513629,9913949.99452824
359,9884018.77677797,9852989.30527511,9914147.08411572
361,9883219.6841449,9848819.86859581,9912120.445607
363,9885194.74227581,9854936.09772659,9913244.38286119
365,9884757.45035526,9853270.34468013,9912639.05434921
367,9883912.17264398,9853985.95682993,9910622.86889161
369,9884131.24552983,9853578.7670943,9911765.64643178
371,9882678.92309182,9848801.09384047,9911460.33946477
373,9884228.20360067,9852465.10706125,9911367.91868609
375,9883543.52242833,9851458.2413964,9911514.2078955
377,9884651.24009156,9852321.75179561,9914203.72360105
379,9883374.31968189,9853028.44411398,9912429.34938444
381,9884974.62914376,9853973.64691067,9912822.83883929
383,9883981.81225589,9852844.66306082,9913434.66897987
385,9884083.1741139,9851578.94620073,9913295.51846247
387,9884991.55304574,9850873.33822326,9912392.68936486
389,9883048.26574641,9848484.05931511,9910839.56316642
391,9885164.34198858,9855887.32820021,9911247.93557939
393,9885089.53739231,9854132.96241459,9913536.19457425
395,9883881.671559,9852343.36750086,9909421.02630534
397,9882841.20224309,9849768.37192786,9911956.80075313
399,9883998.35412341,9851493.99520363,9911377.15675937
401,9883576.83020477,9853809.55742544,9911297.66012746
403,9882839.18005221,9848642.44963741,9911940.83576149
405,9884752.08694477,9852029.19683902,9911111.90358531
407,9884443.08159129,9852567.14012043,9911983.10768986
409,9883960.86821004,9850147.7683911,9913800.55391759
411,9884655.50875561,9853283.78142718,9910171.54937546
413,9884181.4528818,9851615.85823446,9913162.58384702
415,9883893.02777481,9852485.38124084,9911868.78359056
417,9884343.29991518,9854229.14683421,9912326.38273081
419,9884236.07814901,9852493.30053249,9912072.07642698
421,9884164.16719995,9851033.1346505,9913747.61363541
423,9884020.68024806,9853611.75504073,9912642.50482464
425,9883281.2689112,9847058.4673681,9912035.10232959
427,9884857.72518356,9854330.96420524,9912962.1741473
429,9884632.30416847,9852546.02733367,9912725.33712215
431,9884140.83635304,9853477.89007946,9912470.52475865
433,9883048.34961395,9848845.33622518,9911931.9365093
435,9883680.23864061,9851323.92111583,9913172.99382124
437,9884323.23262271,9849918.94210896,9910640.35382831
439,9884696.08176468,9851449.41205471,9912686.21538654
441,9882941.75228663,9851820.63700832,9911484.14638326
443,9884161.80679419,9851213.74271411,9911775.2001556
445,9882983.01018978,9849251.23025284,9911797.86536494
447,9882828.70262529,9849819.95175644,9911151.9343094
449,9884896.88804806,9853671.81507626,9911872.16551288
451,9883480.7937623,9854360.36001015,9911685.96382901
453,9884094.10364743,9852350.09736757,9912860.61806917
455,9884117.32630776,9852888.75487319,9911703.84803525
457,9884512.89488804,9850276.90068647,9913824.42949054
459,9883071.03162026,9850767.48835579,9912037.05870975
461,9884069.32333449,9851020.80603029,9910968.08339611
463,9884414.96685055,9853040.30574882,9912030.99430142
465,9884443.56398259,9855255.29124324,9912905.789018
467,9883715.57786667,9849206.59866862,9912300.2555434
469,9885163.78739162,9854449.73881183,9913287.56034761
471,9884373.14643796,9852850.6568789,9913083.5324948
473,9884060.32713762,9853738.67716449,9913932.13839287
475,9884905.50659815,9853306.21911756,9915195.49159321
477,9884939.55783983,9854021.89410102,9912981.3543398
479,9884753.38814445,9852680.5332947,9912178.8067562
481,9883772.82449469,9849918.63491957,9913441.4043439
483,9884590.38581175,9854409.93480257,9913794.81914962
485,9883785.97327146,9852332.23205589,9914028.4742655
487,9884077.27264664,9851060.91024642,9911217.77961356
489,9881542.35798926,9848761.33207921,9909734.97983867
491,9885012.51701074,9855645.74744106,9913870.69277897
493,9883742.80696777,9848468.65046487,9911578.88013296
495,9883468.73984663,9851131.7694699,9910086.91804681
497,9883604.34993182,9852042.24982924,9912034.92735953
499,9885077.18063179,9852804.55999515,9913320.38007338
501,9885080.84734652,9854425.64408389,9911898.57311548
503,9883600.91551171,9853301.86730517,9912103.70254506
505,9884339.80119385,9854329.09806762,9911872.90752087
507,9883621.73612601,9851218.02296897,9912694.96503532
509,9885038.957611,9852125.10022664,9913398.61168757
511,9883990.88489064,9853629.79315669,9910598.06937595
513,9884627.21324485,9853298.29910656,9911776.99553328
515,9882620.95069766,9850915.33577043,9912207.94056869
517,9884247.0981859,9850082.84013979,9911943.33248914
519,9883304.71992691,9850367.45537128,9911080.81205975
521,9885153.04684895,9855282.17638814,9912926.59177808
523,9882245.12329182,9848568.75824146,9913603.30774913
525,9885227.15661592,9854968.9377124,9915201.57221399
527,9882932.87667618,9850986.84557119,9911071.49481117
529,9883823.10772051,9851236.09009006,9912025.38226035
531,9883691.02593233,9853450.09120782,9912200.93123766
533,9882708.97475678,9850315.14179974,9912374.49462902
535,9884612.49765447,9852224.85143467,9911770.81706081
537,9884838.38101372,9852002.34015616,9913689.71478283
539,9883387.99411607,9851593.13065038,9911260.72559884
541,9884373.4584857,9853049.39532837,9911801.47129627
543,9882364.97638855,9851757.3225292,9911166.46445231
545,9884661.63251549,9851225.70786369,9911611.42173413
547,9883639.26931357,9848227.92477329,9912216.87378747
549,9883586.01809806,9850299.95800224,9911744.89698825
551,9884754.55580289,9852370.26291231,9913490.33645605
553,9882981.14627577,9848889.9977236,9913350.62506527
555,9883994.1814057,9851658.83727294,9910122.37039738
557,9885341.78291458,9853794.98554038,9913915.1018863
559,9883007.3551428,9846734.99149007,9911680.29968267
561,9884120.75952499,9853304.89491521,9913617.13897014
563,9884934.11877564,9851951.55048909,9915275.03278336
565,9885288.56618517,9853741.18415775,9912346.1445274
567,9883917.13916874,9852191.49488705,9911385.31520195
569,9883750.11902578,9850893.69689675,9910882.73542352
571,9884389.92057985,9855684.74156202,9911610.20712103
573,9885630.10985778,9854423.70280731,9913793.31352549
575,9884443.43392532,9853063.6556926,9911980.08131787
577,9884380.82235691,9851553.74425047,9912987.44961905
579,9884943.40579048,9852546.15616848,9914068.42770306
581,9884446.76335209,9852799.68032947,9914224.34429773
583,9884050.01770465,9851315.32772752,9913945.05754688
585,9883290.48466533,9852171.58551778,9910260.37845193
587,9884769.14016754,9855310.04671058,9911850.64272969
589,9884736.01313934,9853537.87316687,9912889.37316379
591,9884404.36142085,9851001.80719723,9910083.5279601
593,9884060.62876628,9850266.98633722,9910890.19988477
595,9884834.08296224,9852438.96632581,9911615.26449973
597,9885600.0084215,9855485.82415893,9912949.84400819
599,9883987.73735716,9849397.24790299,9914208.14090113
601,9885630.7136404,9853955.76144081,9915451.9264307
603,9884930.13289449,9853073.81055589,9914746.20101979
605,9884247.36805422,9853281.88305467,9912274.70185248
607,9884431.1605871,9851361.43184726,9912364.01404446
609,9884321.07717767,9852704.38456554,9914837.65421919
611,9885037.18354877,9855969.06965318,9913815.65027522
613,9884371.81081846,9850045.21028267,9912717.13044711
615,9884711.33103316,9853086.46916962,9912640.00141923
617,9885290.0001149,9855442.26377054,9912109.88171362
619,9885387.87280578,9853266.185219,9914267.11056776
621,9883624.44800614,9852548.06363749,9912313.1061542
623,9885649.35414944,9852187.63279133,9914793.85623556
625,9884528.52583919,9851792.7023097,9912197.82053618
627,9884115.79707799,9852035.36281881,9912713.7831335
629,9884757.37278185,9852243.28913661,9911309.61777824
631,9884646.19089791,9855076.08163745,9910108.20175271
633,9885214.48707057,9854333.1395787,9912403.93190648
635,9884923.30716117,9852818.2603569,9912978.70910412
637,9885638.4246838,9855728.2603248,9913286.87669596
639,9883629.093077,9850787.84971191,9911615.75249128
641,9884886.60705645,9850616.42701836,9914429.67648868
643,9883530.10872319,9853202.3727687,9912892.10629828
645,9884766.68617244,9854627.4911721,9912586.12071021
647,9885003.97471922,9852686.15882473,9914152.14021448
649,9885512.62437309,9855896.54104093,9913088.13199047
651,9883093.42230022,9850532.82482619,9913105.479549
653,9884152.87650367,9850870.35675141,9913148.80144843
655,9884309.33681291,9850073.29440935,9913502.0475008
657,9883886.24649513,9852609.31716857,9912689.67106785
659,9884480.28141075,9853486.19387369,9912014.15606342
661,9884071.3398907,9850026.78031779,9912574.70416178
663,9885116.73592707,9851993.24604525,9913487.79447744
665,9883211.66843988,9850046.80474647,9913784.95660125
667,9884179.88249828,9852662.63741318,9912761.15212225
669,9884569.61817533,9852311.76324179,9911868.97175928
671,9885236.63444417,9852870.42059305,9912800.22355351
673,9884692.8992957,9853180.94424258,9912635.95321866
675,9883289.0395562,9849814.17488251,9913138.53024794
677,9884892.4754793,9853154.10638545,9912029.13781188
