"Fitness_calls","Mean_Fitness","LCI","UCI"
103,1976.65,1775.8,2169.7
105,2321.15,1940.9,2730
107,2999.75,2553.85,3452.8
109,3216.2,2781.35,3666
111,3373.5,2899,3842.15
113,3478.15,3031.6,3972.8
115,3533.4,3056.3,3992.95
117,3597.1,3148.6,4047.55
119,3667.3,3209.7,4132.05
121,3693.3,3209.05,4179.5
123,3693.3,3231.8,4195.1
125,3721.25,3231.15,4226.3
127,3721.25,3240.25,4200.3
129,3721.25,3236.35,4195.75
131,3724.5,3240.25,4199
133,3724.5,3259.75,4188.6
135,3724.5,3215.55,4213.95
137,3724.5,3253.25,4178.2
139,3724.5,3235.05,4171.7
141,3724.5,3244.8,4198.35
143,3724.5,3206.45,4182.75
145,3724.5,3230.5,4194.45
147,3736.85,3242.85,4213.95
149,3736.85,3229.85,4210.05
151,3736.85,3290.3,4224.35
153,3739.45,3256.5,4219.8
155,3739.45,3217.5,4244.5
157,3739.45,3224.65,4234.1
159,3739.45,3268.85,4189.9
161,3739.45,3242.85,4238
163,3739.45,3270.8,4257.5
165,3739.45,3260.4,4206.15
167,3739.45,3208.4,4226.95
169,3739.45,3233.1,4243.2
171,3739.45,3268.2,4214.6
173,3739.45,3284.45,4263.35
175,3739.45,3279.25,4219.8
177,3739.45,3206.45,4203.55
179,3739.45,3263,4223.7
181,3739.45,3261.7,4208.75
183,3739.45,3287.05,4229.55
185,3739.45,3269.5,4219.15
187,3739.45,3264.3,4209.4
189,3739.45,3251.3,4229.55
191,3739.45,3235.05,4240.6
193,3739.45,3255.2,4200.95
195,3739.45,3270.8,4197.05
197,3739.45,3213.6,4251
199,3739.45,3244.15,4242.55
201,3739.45,3277.95,4194.45
203,3739.45,3290.3,4218.5
205,3739.45,3259.75,4184.05
207,3739.45,3245.45,4221.1
209,3739.45,3271.45,4226.95
211,3739.45,3262.35,4227.6
213,3739.45,3206.45,4197.7
215,3739.45,3257.15,4243.85
217,3739.45,3250.65,4210.7
219,3739.45,3253.9,4187.3
221,3739.45,3263,4197.7
223,3739.45,3280.55,4213.95
225,3739.45,3267.55,4206.8
227,3739.45,3263,4264.65
229,3739.45,3270.8,4224.35
231,3739.45,3273.4,4213.3
233,3739.45,3270.8,4264
235,3739.45,3284.45,4226.95
237,3739.45,3228.55,4221.1
239,3739.45,3251.95,4251
241,3739.45,3257.8,4236.7
243,3739.45,3290.95,4268.55
245,3739.45,3281.2,4232.15
247,3739.45,3264.3,4268.55
249,3739.45,3240.9,4176.25
251,3739.45,3219.45,4222.4
253,3739.45,3251.3,4229.55
255,3739.45,3214.25,4215.25
257,3739.45,3242.2,4203.55
259,3739.45,3262.35,4214.6
261,3739.45,3231.15,4192.5
263,3739.45,3236.35,4226.3
265,3739.45,3251.95,4204.85
267,3739.45,3256.5,4209.4
269,3739.45,3276.65,4263.35
271,3739.45,3233.1,4230.85
273,3739.45,3266.9,4200.3
275,3739.45,3282.5,4232.8
277,3739.45,3215.55,4208.1
279,3739.45,3257.15,4194.45
281,3739.45,3246.1,4263.35
283,3739.45,3248.05,4222.4
285,3739.45,3261.05,4204.85
287,3739.45,3275.35,4180.15
289,3739.45,3222.05,4219.15
291,3739.45,3227.9,4233.45
293,3739.45,3250,4226.3
295,3739.45,3243.5,4207.45
297,3739.45,3289,4217.2
299,3739.45,3280.55,4227.6
301,3739.45,3272.1,4225
303,3739.45,3265.6,4217.2
305,3739.45,3244.8,4210.05
307,3739.45,3227.25,4202.9
309,3739.45,3254.55,4195.1
311,3739.45,3231.8,4174.95
313,3739.45,3252.6,4188.6
315,3739.45,3261.05,4197.05
317,3739.45,3270.8,4227.6
319,3739.45,3277.3,4167.15
321,3739.45,3253.25,4181.45
323,3739.45,3279.25,4203.55
325,3739.45,3236.35,4202.25
327,3739.45,3257.15,4187.95
329,3739.45,3295.5,4219.8
331,3739.45,3263,4182.1
333,3739.45,3222.7,4213.95
335,3739.45,3266.25,4230.85
337,3739.45,3225.3,4236.7
339,3739.45,3255.2,4215.25
341,3739.45,3279.25,4210.7
343,3739.45,3209.7,4187.95
345,3739.45,3232.45,4208.75
347,3739.45,3229.85,4220.45
349,3739.45,3261.05,4223.05
351,3739.45,3227.9,4193.8
353,3739.45,3246.1,4208.75
355,3739.45,3224.65,4239.3
357,3739.45,3244.8,4214.6
359,3739.45,3261.05,4191.2
361,3739.45,3276,4232.15
363,3739.45,3220.75,4215.25
365,3739.45,3235.05,4229.55
367,3739.45,3262.35,4245.8
369,3739.45,3240.25,4209.4
371,3739.45,3289.65,4241.25
373,3739.45,3239.6,4199.65
375,3739.45,3214.9,4202.25
377,3739.45,3283.15,4234.75
379,3739.45,3224,4202.9
381,3739.45,3234.4,4206.8
383,3739.45,3231.8,4228.25
385,3739.45,3273.4,4199
387,3739.45,3248.05,4213.3
389,3739.45,3252.6,4258.8
391,3739.45,3233.1,4238.65
393,3739.45,3291.6,4200.3
395,3739.45,3267.55,4213.95
397,3739.45,3263,4223.7
399,3739.45,3238.95,4199
401,3739.45,3249.35,4200.3
403,3739.45,3261.7,4189.25
405,3739.45,3265.6,4197.05
407,3739.45,3274.7,4219.8
409,3739.45,3269.5,4191.2
411,3739.45,3277.95,4213.95
413,3739.45,3266.9,4234.1
415,3739.45,3235.05,4230.85
417,3739.45,3242.85,4222.4
419,3739.45,3263.65,4220.45
421,3739.45,3270.8,4249.7
423,3739.45,3239.6,4230.85
425,3739.45,3243.5,4213.95
427,3739.45,3251.3,4200.95
429,3739.45,3270.15,4245.8
431,3739.45,3227.25,4221.1
433,3739.45,3250,4243.85
435,3739.45,3251.95,4232.15
437,3739.45,3242.85,4190.55
439,3739.45,3249.35,4267.25
441,3739.45,3240.9,4189.9
443,3739.45,3277.3,4227.6
445,3739.45,3252.6,4204.85
447,3739.45,3230.5,4218.5
449,3739.45,3192.8,4204.85
451,3739.45,3221.4,4196.4
453,3739.45,3237,4185.35
455,3739.45,3260.4,4204.85
457,3739.45,3251.95,4202.9
459,3739.45,3276.65,4193.15
461,3739.45,3253.25,4226.95
463,3739.45,3244.8,4204.2
465,3739.45,3330.6,4174.3
467,3739.45,3242.2,4242.55
469,3739.45,3270.8,4230.85
471,3739.45,3248.05,4186.65
473,3739.45,3248.05,4197.05
475,3739.45,3270.15,4228.25
477,3739.45,3268.85,4289.35
479,3739.45,3218.8,4202.9
481,3739.45,3255.2,4209.4
483,3739.45,3295.5,4214.6
485,3739.45,3242.2,4253.6
487,3739.45,3253.25,4197.7
489,3739.45,3234.4,4236.05
491,3739.45,3256.5,4206.8
493,3739.45,3261.05,4240.6
495,3739.45,3267.55,4212
497,3739.45,3256.5,4242.55
499,3739.45,3241.55,4215.9
501,3739.45,3243.5,4230.2
503,3739.45,3259.1,4247.75
505,3739.45,3266.25,4237.35
507,3739.45,3248.7,4214.6
509,3739.45,3271.45,4206.15
511,3739.45,3238.3,4239.95
513,3739.45,3278.6,4239.95
515,3739.45,3277.95,4195.1
517,3739.45,3245.45,4241.9
519,3739.45,3280.55,4179.5
521,3739.45,3285.75,4272.45
523,3739.45,3281.85,4245.8
525,3739.45,3250,4219.15
527,3739.45,3222.7,4243.85
